absolute_denominator_ha,absolute_hamiltonian_coupling_ha,directly_excited_determinant_index,en_amplitude_score,en_second_order_lowering_score_ha,excitation,external_en_amplitude_rank,global_uccsd_index,hf_determinant_index,internal_2e5o_operator,new_external_operator,operator_label,operator_type,signed_diagonal_gap_ha,transferred_compact10_operator
0.15290689942515456,4.07860592521736e-09,10,2.6673786078657434e-08,1.0879186194839254e-16,"[[0], [1]]",,0,0,True,False,E0:(0)->(1),single,0.15290689942515456,True
0.20032033580007003,1.675672300291891e-17,20,8.364963515058691e-17,1.401693765513614e-33,"[[0], [2]]",,1,0,True,False,E1:(0)->(2),single,0.20032033580007003,False
0.20032033580007091,1.7763898289051297e-17,30,8.867745862197686e-17,1.575257355492352e-33,"[[0], [3]]",,2,0,True,False,E2:(0)->(3),single,0.20032033580007091,False
0.488220672788378,7.934745777093966e-10,40,1.625237565582014e-09,1.2895846910276364e-18,"[[0], [4]]",,3,0,True,False,E3:(0)->(4),single,0.488220672788378,True
0.3235523529373374,5.347840240088608e-09,50,1.6528515992972326e-08,8.839186293616554e-17,"[[0], [5]]",33.0,4,0,False,True,E4:(0)->(5),single,0.3235523529373374,False
0.2954062388386527,1.252137660907636e-17,60,4.2386974148895294e-17,5.307432666375019e-34,"[[0], [6]]",46.0,5,0,False,True,E5:(0)->(6),single,0.2954062388386527,False
0.2954062388386536,8.487126993059786e-17,70,2.873035798575441e-16,2.4383819678116703e-32,"[[0], [7]]",38.0,6,0,False,True,E6:(0)->(7),single,0.2954062388386536,False
0.3589263949124373,3.016194201517497e-09,80,8.403378086065027e-09,2.5346220256348534e-17,"[[0], [8]]",34.0,7,0,False,True,E7:(0)->(8),single,0.3589263949124373,False
0.9886038020596244,1.249218041510236e-09,90,1.263618487919687e-09,1.5785350126951572e-18,"[[0], [9]]",36.0,8,0,False,True,E8:(0)->(9),single,0.9886038020596244,False
0.15290689942515456,4.078605918278466e-09,1,2.667378603327757e-08,1.087918615782194e-16,"[[10], [11]]",,9,0,True,False,E9:(10)->(11),single,0.15290689942515456,True
0.20032033580007003,1.6756723002918942e-17,2,8.364963515058707e-17,1.4016937655136191e-33,"[[10], [12]]",,10,0,True,False,E10:(10)->(12),single,0.20032033580007003,False
0.20032033580007091,1.776389828905105e-17,3,8.867745862197562e-17,1.575257355492308e-33,"[[10], [13]]",,11,0,True,False,E11:(10)->(13),single,0.20032033580007091,False
0.488220672788378,7.934745915871844e-10,4,1.62523759400725e-09,1.2895847361370409e-18,"[[10], [14]]",,12,0,True,False,E12:(10)->(14),single,0.488220672788378,True
0.3235523529373374,5.34784024095597e-09,5,1.6528515995653073e-08,8.839186296483793e-17,"[[10], [15]]",32.0,13,0,False,True,E13:(10)->(15),single,0.3235523529373374,False
0.2954062388386536,1.252137660907636e-17,6,4.2386974148895165e-17,5.307432666375003e-34,"[[10], [16]]",47.0,14,0,False,True,E14:(10)->(16),single,0.2954062388386536,False
0.2954062388386536,8.487126993059774e-17,7,2.873035798575437e-16,2.4383819678116632e-32,"[[10], [17]]",39.0,15,0,False,True,E15:(10)->(17),single,0.2954062388386536,False
0.3589263949124373,3.0161941737619213e-09,8,8.40337800873559e-09,2.5346219789867344e-17,"[[10], [18]]",35.0,16,0,False,True,E16:(10)->(18),single,0.3589263949124373,False
0.9886038020596244,1.2492180311018952e-09,9,1.2636184773913632e-09,1.5785349863908135e-18,"[[10], [19]]",37.0,17,0,False,True,E17:(10)->(19),single,0.9886038020596244,False
0.6795131531161527,0.014895786765454097,11,0.021921263329700232,0.00032653446418858293,"[[0, 10], [1, 11]]",,18,0,True,False,"E18:(0,10)->(1,11)",double,0.6795131531161527,True
0.6280594690707124,2.4871603750539604e-17,12,3.9600714542748726e-17,9.849332803454774e-34,"[[0, 10], [1, 12]]",,19,0,True,False,"E19:(0,10)->(1,12)",double,0.6280594690707124,False
0.6280594690707133,1.4043768908173727e-18,13,2.236057188812567e-18,3.140267042514428e-36,"[[0, 10], [1, 13]]",,20,0,True,False,"E20:(0,10)->(1,13)",double,0.6280594690707133,False
0.7108664073376687,0.03475480433799397,14,0.048890767631231014,0.001699189062957763,"[[0, 10], [1, 14]]",,21,0,True,False,"E21:(0,10)->(1,14)",double,0.7108664073376687,True
0.7969592569019692,0.002126396590971683,15,0.002668137138199077,5.67351771491146e-06,"[[0, 10], [1, 15]]",21.0,22,0,False,True,"E22:(0,10)->(1,15)",double,0.7969592569019692,False
0.7170781542906317,1.7333758184048255e-17,16,2.417276008247057e-17,4.190047779105592e-34,"[[0, 10], [1, 16]]",56.0,23,0,False,True,"E23:(0,10)->(1,16)",double,0.7170781542906317,False
0.7170781542906326,1.694018834258484e-17,17,2.3623907995555757e-17,4.001934508326104e-34,"[[0, 10], [1, 17]]",58.0,24,0,False,True,"E24:(0,10)->(1,17)",double,0.7170781542906326,False
0.6841263152176058,0.0023180132834806797,18,0.003388282590391761,7.85408405271443e-06,"[[0, 10], [1, 18]]",20.0,25,0,False,True,"E25:(0,10)->(1,18)",double,0.6841263152176058,False
1.2136388364280544,0.008450232808955278,19,0.006962724457488318,5.883664265038312e-05,"[[0, 10], [1, 19]]",11.0,26,0,False,True,"E26:(0,10)->(1,19)",double,1.2136388364280544,False
0.6280594690707124,2.487160375053961e-17,21,3.960071454274873e-17,9.84933280345478e-34,"[[0, 10], [2, 11]]",,27,0,True,False,"E27:(0,10)->(2,11)",double,0.6280594690707124,False
0.6604500042490633,0.0204564716427037,22,0.030973535485040785,0.0006336092503240136,"[[0, 10], [2, 12]]",,28,0,True,False,"E28:(0,10)->(2,12)",double,0.6604500042490633,True
0.6289131060584552,3.263290757933854e-18,23,5.188778428208718e-18,1.693249268974006e-35,"[[0, 10], [2, 13]]",,29,0,True,False,"E29:(0,10)->(2,13)",double,0.6289131060584552,False
0.7391663961547899,1.1413558701037872e-17,24,1.5441122270184674e-17,1.7623815544065595e-34,"[[0, 10], [2, 14]]",,30,0,True,False,"E30:(0,10)->(2,14)",double,0.7391663961547899,False
0.7803318483543809,9.465696675727914e-18,25,1.2130347743322083e-17,1.1482219230938745e-34,"[[0, 10], [2, 15]]",67.0,31,0,False,True,"E31:(0,10)->(2,15)",double,0.7803318483543809,False
0.733401106572444,0.0026831073449352476,26,0.0036584446367619646,9.815999675934992e-06,"[[0, 10], [2, 16]]",17.0,32,0,False,True,"E32:(0,10)->(2,16)",double,0.733401106572444,False
0.7260583172616588,0.0014012890043819232,27,0.0019299951134323595,2.7044809309636077e-06,"[[0, 10], [2, 17]]",30.0,33,0,False,True,"E33:(0,10)->(2,17)",double,0.7260583172616588,False
0.7106824433209917,2.5097495110955328e-17,28,3.5314640662397255e-17,8.863090213696594e-34,"[[0, 10], [2, 18]]",48.0,34,0,False,True,"E34:(0,10)->(2,18)",double,0.7106824433209917,False
1.2427580864716008,3.219793995733602e-17,29,2.5908453389147834e-17,8.341988266112208e-34,"[[0, 10], [2, 19]]",53.0,35,0,False,True,"E35:(0,10)->(2,19)",double,1.2427580864716008,False
0.6280594690707133,1.4043768908173814e-18,31,2.236057188812581e-18,3.140267042514467e-36,"[[0, 10], [3, 11]]",,36,0,True,False,"E36:(0,10)->(3,11)",double,0.6280594690707133,False
0.6289131060584552,1.6738457018646211e-18,32,2.6614896171507727e-18,4.4549229562251366e-36,"[[0, 10], [3, 12]]",,37,0,True,False,"E37:(0,10)->(3,12)",double,0.6289131060584552,False
0.6604500042490642,0.02045647164270369,33,0.030973535485040726,0.0006336092503240121,"[[0, 10], [3, 13]]",,38,0,True,False,"E38:(0,10)->(3,13)",double,0.6604500042490642,True
0.7391663961547899,1.6761445825630352e-17,34,2.2676146958012298e-17,3.8008500877075562e-34,"[[0, 10], [3, 14]]",,39,0,True,False,"E39:(0,10)->(3,14)",double,0.7391663961547899,False
0.7803318483543809,1.1816046579465602e-17,35,1.5142335410741107e-17,1.7892254053520832e-34,"[[0, 10], [3, 15]]",63.0,40,0,False,True,"E40:(0,10)->(3,15)",double,0.7803318483543809,False
0.7260583172616588,0.0014012890043819338,36,0.001929995113432374,2.704480930963649e-06,"[[0, 10], [3, 16]]",28.0,41,0,False,True,"E41:(0,10)->(3,16)",double,0.7260583172616588,False
0.7334011065724448,0.002683107344935259,37,0.0036584446367619755,9.815999675935061e-06,"[[0, 10], [3, 17]]",15.0,42,0,False,True,"E42:(0,10)->(3,17)",double,0.7334011065724448,False
0.7106824433209917,9.264275783587837e-17,38,1.30357459518716e-16,1.2076674554292726e-32,"[[0, 10], [3, 18]]",41.0,43,0,False,True,"E43:(0,10)->(3,18)",double,0.7106824433209917,False
1.2427580864716008,9.440858062756673e-17,39,7.596698155117909e-17,7.171934902807366e-33,"[[0, 10], [3, 19]]",43.0,44,0,False,True,"E44:(0,10)->(3,19)",double,1.2427580864716008,False
0.7108664073376687,0.034754804337993966,41,0.04889076763123101,0.0016991890629577623,"[[0, 10], [4, 11]]",,45,0,True,False,"E45:(0,10)->(4,11)",double,0.7108664073376687,True
0.7391663961547899,1.1413558701037877e-17,42,1.544112227018468e-17,1.762381554406561e-34,"[[0, 10], [4, 12]]",,46,0,True,False,"E46:(0,10)->(4,12)",double,0.7391663961547899,False
0.7391663961547899,1.6761445825630247e-17,43,2.2676146958012156e-17,3.800850087707509e-34,"[[0, 10], [4, 13]]",,47,0,True,False,"E47:(0,10)->(4,13)",double,0.7391663961547899,False
1.0158244926463285,0.10741694640667072,44,0.10574360746789872,0.011358655416227303,"[[0, 10], [4, 14]]",,48,0,True,False,"E48:(0,10)->(4,14)",double,1.0158244926463285,True
0.8729688596571741,0.0065239587159366215,45,0.0074733006152117075,4.875550468542493e-05,"[[0, 10], [4, 15]]",10.0,49,0,False,True,"E49:(0,10)->(4,15)",double,0.8729688596571741,False
0.8347483915388487,4.76358078765204e-17,46,5.706606728370492e-17,2.718388217395154e-33,"[[0, 10], [4, 16]]",45.0,50,0,False,True,"E50:(0,10)->(4,16)",double,0.8347483915388487,False
0.8347483915388496,2.797393184403308e-17,47,3.3511812813994696e-17,9.374571676286822e-34,"[[0, 10], [4, 17]]",51.0,51,0,False,True,"E51:(0,10)->(4,17)",double,0.8347483915388496,False
0.8740338529170231,0.013748042476887582,48,0.015729416464825147,0.000216248685695071,"[[0, 10], [4, 18]]",6.0,52,0,False,True,"E52:(0,10)->(4,18)",double,0.8740338529170231,False
1.5094975065817087,0.04519148372046267,49,0.029938097627467974,0.0013529470515533412,"[[0, 10], [4, 19]]",2.0,53,0,False,True,"E53:(0,10)->(4,19)",double,1.5094975065817087,False
0.7969592569019692,0.002126396590971667,51,0.002668137138199057,5.673517714911374e-06,"[[0, 10], [5, 11]]",22.0,54,0,False,True,"E54:(0,10)->(5,11)",double,0.7969592569019692,False
0.78033184835438,9.465696675727914e-18,52,1.2130347743322097e-17,1.1482219230938758e-34,"[[0, 10], [5, 12]]",66.0,55,0,False,True,"E55:(0,10)->(5,12)",double,0.78033184835438,False
0.7803318483543809,1.1816046579465619e-17,53,1.514233541074113e-17,1.7892254053520884e-34,"[[0, 10], [5, 13]]",62.0,56,0,False,True,"E56:(0,10)->(5,13)",double,0.7803318483543809,False
0.8729688596571741,0.0065239587159366536,54,0.007473300615211744,4.875550468542541e-05,"[[0, 10], [5, 14]]",9.0,57,0,False,True,"E57:(0,10)->(5,14)",double,0.8729688596571741,False
0.9950994901617216,0.0023461556263927883,55,0.0023577096055103952,5.531553656368536e-06,"[[0, 10], [5, 15]]",27.0,58,0,False,True,"E58:(0,10)->(5,15)",double,0.9950994901617216,False
0.9242169808594562,2.6533162482785683e-19,56,2.870880218854205e-19,7.617353131547395e-38,"[[0, 10], [5, 16]]",75.0,59,0,False,True,"E59:(0,10)->(5,16)",double,0.9242169808594562,False
0.9242169808594562,4.861167878818842e-18,57,5.2597690580174155e-18,2.5568620394839497e-35,"[[0, 10], [5, 17]]",71.0,60,0,False,True,"E60:(0,10)->(5,17)",double,0.9242169808594562,False
0.8781615445464386,0.0035518721555203962,58,0.004044668293183918,1.4366144688876163e-05,"[[0, 10], [5, 18]]",14.0,61,0,False,True,"E61:(0,10)->(5,18)",double,0.8781615445464386,False
1.3986009786918423,0.003491337122603296,59,0.002496306792140857,8.715448572808125e-06,"[[0, 10], [5, 19]]",24.0,62,0,False,True,"E62:(0,10)->(5,19)",double,1.3986009786918423,False
0.7170781542906317,1.7333758184048233e-17,61,2.417276008247054e-17,4.190047779105582e-34,"[[0, 10], [6, 11]]",57.0,63,0,False,True,"E63:(0,10)->(6,11)",double,0.7170781542906317,False
0.733401106572444,0.0026831073449352463,62,0.003658444636761963,9.815999675934982e-06,"[[0, 10], [6, 12]]",18.0,64,0,False,True,"E64:(0,10)->(6,12)",double,0.733401106572444,False
0.7260583172616588,0.0014012890043819338,63,0.001929995113432374,2.704480930963649e-06,"[[0, 10], [6, 13]]",29.0,65,0,False,True,"E65:(0,10)->(6,13)",double,0.7260583172616588,False
0.8347483915388487,4.7635807876520425e-17,64,5.706606728370495e-17,2.7183882173951567e-33,"[[0, 10], [6, 14]]",44.0,66,0,False,True,"E66:(0,10)->(6,14)",double,0.8347483915388487,False
0.9242169808594554,2.653316248278992e-19,65,2.8708802188546663e-19,7.617353131549834e-38,"[[0, 10], [6, 15]]",74.0,67,0,False,True,"E67:(0,10)->(6,15)",double,0.9242169808594554,False
0.8916829275209306,0.0021465900746447755,66,0.0024073468364060255,5.167586825256674e-06,"[[0, 10], [6, 16]]",25.0,68,0,False,True,"E68:(0,10)->(6,16)",double,0.8916829275209306,False
0.8742128188189602,1.0533199064099748e-18,67,1.204878130056459e-18,1.269122119186495e-36,"[[0, 10], [6, 17]]",73.0,69,0,False,True,"E69:(0,10)->(6,17)",double,0.8742128188189602,False
0.8479167817251678,1.8724867847407598e-17,68,2.2083379231285013e-17,4.1350835772999745e-34,"[[0, 10], [6, 18]]",60.0,70,0,False,True,"E70:(0,10)->(6,18)",double,0.8479167817251678,False
