geometry_key,bond_length_angstrom,computed_full_2e10o_exact_total_ha,accepted_full_2e10o_exact_total_ha,full_exact_residual_ha,computed_internal_rotated_2e5o_exact_total_ha,accepted_internal_rotated_2e5o_exact_total_ha,internal_exact_residual_ha,exact_hamiltonian_audit_passed
1.595000,1.595,-7.99800203929504,-7.998002039295045,5.329070518200751e-15,-7.995893472810587,-7.995893472810588,8.881784197001252e-16,True
2.500000,2.5,-7.9690746235741825,-7.9690746235741745,-7.993605777301127e-15,-7.964772525697444,-7.964772525697446,2.6645352591003757e-15,True
3.000000,3.0,-7.949505082865739,-7.949505082865738,-1.7763568394002505e-15,-7.941046028773085,-7.941046028773081,-4.440892098500626e-15,True
