family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
deterministic_path,compact10_plus_top_00,1.595000,1.595,0,10,2,True,-7.995893472810522,2.136069099378801e-12,-7.998002039295045,0.0021085664845230667,False,False,True
deterministic_path,compact10_plus_top_00,2.500000,2.5,0,10,2,True,-7.96477252568401,5.702727179368594e-11,-7.9690746235741745,0.004302097890164447,False,False,True
deterministic_path,compact10_plus_top_00,3.000000,3.0,0,10,2,True,-7.941046028769805,4.355813487677551e-10,-7.949505082865738,0.008459054095932395,False,False,True
deterministic_path,compact10_plus_top_01,1.595000,1.595,1,11,2,True,-7.996641576240513,1.7988277534186636e-11,-7.998002039295045,0.0013604630545316354,True,False,True
deterministic_path,compact10_plus_top_01,2.500000,2.5,1,11,2,True,-7.965218916277824,6.421529974431905e-13,-7.9690746235741745,0.003855707296350097,False,False,True
deterministic_path,compact10_plus_top_01,3.000000,3.0,1,11,2,True,-7.941190285058763,4.938272013532696e-12,-7.949505082865738,0.008314797806974639,False,False,True
deterministic_path,compact10_plus_top_02,1.595000,1.595,2,12,2,True,-7.996688085136154,4.999645142333975e-11,-7.998002039295045,0.0013139541588911285,True,False,True
deterministic_path,compact10_plus_top_02,2.500000,2.5,2,12,2,True,-7.965228649832275,1.4300560735591716e-10,-7.9690746235741745,0.0038459737418996554,False,False,True
deterministic_path,compact10_plus_top_02,3.000000,3.0,2,12,2,True,-7.94124797635566,9.146798873871376e-10,-7.949505082865738,0.008257106510077605,False,False,True
deterministic_path,compact10_plus_top_03,1.595000,1.595,3,13,2,True,-7.996734928728682,9.394085509484285e-11,-7.998002039295045,0.0012671105663626392,True,False,True
deterministic_path,compact10_plus_top_03,2.500000,2.5,3,13,2,True,-7.965238241880703,2.6150370757704877e-10,-7.9690746235741745,0.0038363816934712247,False,False,True
deterministic_path,compact10_plus_top_03,3.000000,3.0,3,13,2,True,-7.941303401350003,1.0047287446468545e-09,-7.949505082865738,0.008201681515735082,False,False,True
deterministic_path,compact10_plus_top_04,1.595000,1.595,4,14,2,True,-7.997136738063481,2.519759512153996e-09,-7.998002039295045,0.0008653012315642528,True,False,True
deterministic_path,compact10_plus_top_04,2.500000,2.5,4,14,2,True,-7.965768746804538,9.940492873283802e-12,-7.9690746235741745,0.003305876769636562,False,False,True
deterministic_path,compact10_plus_top_04,3.000000,3.0,4,14,2,True,-7.941743977455581,3.852473895449293e-11,-7.949505082865738,0.00776110541015651,False,False,True
deterministic_path,compact10_plus_top_05,1.595000,1.595,5,15,2,True,-7.997222043046022,1.1298695312689233e-10,-7.998002039295045,0.0007799962490233625,True,True,True
deterministic_path,compact10_plus_top_05,2.500000,2.5,5,15,2,True,-7.965967118480957,4.573523781914446e-10,-7.9690746235741745,0.0031075050932178883,False,False,True
deterministic_path,compact10_plus_top_05,3.000000,3.0,5,15,2,True,-7.9422003601828575,7.409637348132492e-10,-7.949505082865738,0.0073047226828801826,False,False,True
deterministic_path,compact10_plus_top_06,1.595000,1.595,6,16,2,True,-7.99730488215353,2.1015189588524663e-11,-7.998002039295045,0.0006971571415146371,True,True,True
deterministic_path,compact10_plus_top_06,2.500000,2.5,6,16,2,True,-7.966153965940737,4.4718451164271755e-10,-7.9690746235741745,0.0029206576334370737,False,False,True
deterministic_path,compact10_plus_top_06,3.000000,3.0,6,16,2,True,-7.942630194601782,6.733698043603908e-10,-7.949505082865738,0.0068748882639555475,False,False,True
deterministic_path,compact10_plus_top_07,1.595000,1.595,7,17,2,True,-7.99734769311018,1.4376677626160017e-10,-7.998002039295045,0.000654346184864707,True,True,True
deterministic_path,compact10_plus_top_07,2.500000,2.5,7,17,2,True,-7.9662012362196934,4.845901457883883e-10,-7.9690746235741745,0.0028733873544810606,False,False,True
deterministic_path,compact10_plus_top_07,3.000000,3.0,7,17,2,True,-7.9426443894448076,3.5832989908612944e-09,-7.949505082865738,0.006860693420930097,False,False,True
deterministic_path,compact10_plus_top_08,1.595000,1.595,8,18,2,True,-7.997391476863726,1.8312640293061122e-10,-7.998002039295045,0.0006105624313192948,True,True,True
deterministic_path,compact10_plus_top_08,2.500000,2.5,8,18,2,True,-7.966247537230155,4.483302618041307e-10,-7.9690746235741745,0.002827086344019847,False,False,True
deterministic_path,compact10_plus_top_08,3.000000,3.0,8,18,2,True,-7.942658389231729,3.129432712967173e-09,-7.949505082865738,0.006846693634008361,False,False,True
deterministic_path,compact10_plus_top_09,1.595000,1.595,9,19,2,True,-7.997391546841564,6.076028569168557e-11,-7.998002039295045,0.00061049245348066,True,True,True
deterministic_path,compact10_plus_top_09,2.500000,2.5,9,19,2,True,-7.966273183229095,1.332685073407447e-10,-7.9690746235741745,0.0028014403450793424,False,False,True
deterministic_path,compact10_plus_top_09,3.000000,3.0,9,19,2,True,-7.942664874282808,3.560671757441014e-10,-7.949505082865738,0.006840208582929996,False,False,True
deterministic_path,compact10_plus_top_10,1.595000,1.595,10,20,2,True,-7.997391616597938,1.781064185024661e-10,-7.998002039295045,0.0006104226971066495,True,True,True
deterministic_path,compact10_plus_top_10,2.500000,2.5,10,20,2,True,-7.966298590585119,1.893223355864393e-10,-7.9690746235741745,0.002776032989055821,False,False,True
deterministic_path,compact10_plus_top_10,3.000000,3.0,10,20,2,True,-7.942671285238151,3.979572227308381e-10,-7.949505082865738,0.006833797627586513,False,False,True
deterministic_path,compact10_plus_top_11,1.595000,1.595,11,21,2,True,-7.997418311492378,9.063860773039778e-12,-7.998002039295045,0.0005837278026668002,True,True,True
deterministic_path,compact10_plus_top_11,2.500000,2.5,11,21,2,True,-7.966365387648489,2.4783730623312294e-11,-7.9690746235741745,0.0027092359256855048,False,False,True
deterministic_path,compact10_plus_top_11,3.000000,3.0,11,21,2,True,-7.942787616715419,5.675397929394421e-10,-7.949505082865738,0.00671746615031843,False,False,True
deterministic_path,compact10_plus_top_12,1.595000,1.595,12,22,2,True,-7.99744473478067,2.022115808131275e-11,-7.998002039295045,0.0005573045143751898,True,True,True
deterministic_path,compact10_plus_top_12,2.500000,2.5,12,22,2,True,-7.966431930586102,7.124700829308495e-11,-7.9690746235741745,0.0026426929880720706,False,False,True
deterministic_path,compact10_plus_top_12,3.000000,3.0,12,22,2,True,-7.942902916665525,1.6084911180769268e-10,-7.949505082865738,0.0066021662002127,False,False,True
deterministic_path,compact10_plus_top_13,1.595000,1.595,13,23,2,True,-7.997461514002463,2.3972450691189806e-09,-7.998002039295045,0.0005405252925818615,True,True,True
deterministic_path,compact10_plus_top_13,2.500000,2.5,13,23,2,True,-7.966440790279573,6.5121774639465e-10,-7.9690746235741745,0.0026338332946016507,False,False,True
deterministic_path,compact10_plus_top_13,3.000000,3.0,13,23,2,True,-7.942908703301039,1.6059535923318435e-09,-7.949505082865738,0.006596379564698829,False,False,True
deterministic_path,compact10_plus_top_14,1.595000,1.595,14,24,2,True,-7.997478067122432,2.4081332483660844e-09,-7.998002039295045,0.0005239721726129076,True,True,True
